date	Bitcoin	Stock
2016-04-01	417.96	2072.780029
2016-04-02	420.87	NA
2016-04-03	420.9	NA
2016-04-04	421.44	2066.129883
2016-04-05	424.03	2045.170044
2016-04-06	423.41	2066.659912
2016-04-07	422.75	2041.910034
2016-04-08	420.35	2047.599976
2016-04-09	419.41	NA
2016-04-10	421.56	NA
2016-04-11	422.48	2041.98999
2016-04-12	425.19	2061.719971
2016-04-13	423.73	2082.419922
2016-04-14	424.28	2082.780029
2016-04-15	429.71	2080.72998
2016-04-16	430.57	NA
2016-04-17	427.4	NA
2016-04-18	428.59	2094.340088
2016-04-19	435.51	2100.800049
2016-04-20	441.39	2102.399902
2016-04-21	449.43	2091.47998
2016-04-22	445.74	2091.580078
2016-04-23	450.28	NA
2016-04-24	458.56	NA
2016-04-25	461.43	2087.790039
2016-04-26	466.09	2091.699951
2016-04-27	444.69	2095.149902
2016-04-28	449.01	2075.810059
2016-04-29	455.1	2065.300049
2016-04-30	448.32	NA
2016-05-01	451.88	NA
2016-05-02	444.67	2081.429932
2016-05-03	450.3	2063.370117
2016-05-04	446.72	2051.120117
2016-05-05	447.98	2050.629883
2016-05-06	459.6	2057.139893
2016-05-07	458.54	NA
2016-05-08	458.55	NA
2016-05-09	460.48	2058.689941
2016-05-10	450.9	2084.389893
2016-05-11	452.73	2064.459961
2016-05-12	454.77	2064.110107
2016-05-13	455.67	2046.609985
2016-05-14	455.67	NA
2016-05-15	457.57	NA
2016-05-16	454.16	2066.659912
2016-05-17	453.78	2047.209961
2016-05-18	454.62	2047.630005
2016-05-19	438.72	2040.040039
2016-05-20	442.68	2052.320068
2016-05-21	443.19	NA
2016-05-22	439.32	NA
2016-05-23	444.16	2048.040039
2016-05-24	445.98	2076.060059
2016-05-25	449.6	2090.540039
2016-05-26	453.38	2090.100098
2016-05-27	473.46	2099.060059
2016-05-28	530.04	NA
2016-05-29	526.23	NA
2016-05-30	533.86	NA
2016-05-31	531.39	2096.949951
2016-06-01	536.92	2099.330078
2016-06-02	537.97	2105.26001
2016-06-03	569.19	2099.129883
2016-06-04	572.73	NA
2016-06-05	574.98	NA
2016-06-06	585.54	2109.409912
2016-06-07	576.6	2112.129883
2016-06-08	581.65	2119.120117
2016-06-09	574.63	2115.47998
2016-06-10	577.47	2096.070068
2016-06-11	606.73	NA
2016-06-12	672.78	NA
2016-06-13	704.38	2079.060059
2016-06-14	685.56	2075.320068
2016-06-15	694.47	2071.5
2016-06-16	766.31	2077.98999
2016-06-17	748.91	2071.219971
2016-06-18	756.23	NA
2016-06-19	763.78	NA
2016-06-20	737.23	2083.25
2016-06-21	666.65	2088.899902
2016-06-22	596.12	2085.449951
2016-06-23	623.98	2113.320068
2016-06-24	665.3	2037.410034
2016-06-25	665.12	NA
2016-06-26	629.37	NA
2016-06-27	655.28	2000.540039
2016-06-28	647	2036.089966
2016-06-29	639.89	2070.77002
2016-06-30	673.34	2098.860107
2016-07-01	676.3	2102.949951
2016-07-02	703.7	NA
2016-07-03	658.66	NA
2016-07-04	683.66	NA
2016-07-05	670.63	2088.550049
2016-07-06	677.33	2099.72998
2016-07-07	640.56	2097.899902
2016-07-08	666.52	2129.899902
2016-07-09	650.96	NA
2016-07-10	649.36	NA
2016-07-11	647.66	2137.159912
2016-07-12	664.55	2152.139893
2016-07-13	654.47	2152.429932
2016-07-14	658.08	2163.75
2016-07-15	663.26	2161.73999
2016-07-16	660.77	NA
2016-07-17	679.46	NA
2016-07-18	673.11	2166.889893
2016-07-19	672.86	2163.780029
2016-07-20	665.69	2173.02002
2016-07-21	665.01	2165.169922
2016-07-22	650.62	2175.030029
2016-07-23	655.56	NA
2016-07-24	661.29	NA
2016-07-25	654.1	2168.47998
2016-07-26	651.78	2169.179932
2016-07-27	654.35	2166.580078
2016-07-28	655.04	2170.060059
2016-07-29	656.99	2173.600098
2016-07-30	655.05	NA
2016-07-31	624.68	NA
2016-08-01	606.27	2170.840088
2016-08-02	547.47	2157.030029
2016-08-03	566.36	2163.790039
2016-08-04	578.29	2164.25
2016-08-05	575.04	2182.870117
2016-08-06	587.78	NA
2016-08-07	592.69	NA
2016-08-08	591.05	2180.889893
2016-08-09	587.8	2181.73999
2016-08-10	592.1	2175.48999
2016-08-11	589.12	2185.790039
2016-08-12	587.56	2184.050049
2016-08-13	585.59	NA
2016-08-14	570.47	NA
2016-08-15	567.24	2190.149902
2016-08-16	577.44	2178.149902
2016-08-17	573.22	2182.219971
2016-08-18	574.32	2187.02002
2016-08-19	575.63	2183.870117
2016-08-20	581.7	NA
2016-08-21	581.31	NA
2016-08-22	586.75	2182.639893
2016-08-23	583.42	2186.899902
2016-08-24	580.18	2175.439941
2016-08-25	577.76	2172.469971
2016-08-26	579.65	2169.040039
2016-08-27	569.95	NA
2016-08-28	573.91	NA
2016-08-29	574.11	2180.379883
2016-08-30	577.5	2176.120117
2016-08-31	575.47	2170.949951
2016-09-01	572.3	2170.860107
2016-09-02	575.54	2179.97998
2016-09-03	598.21	NA
2016-09-04	608.63	NA
2016-09-05	606.59	NA
2016-09-06	610.44	2186.47998
2016-09-07	614.54	2186.159912
2016-09-08	626.32	2181.300049
2016-09-09	622.86	2127.810059
2016-09-10	623.51	NA
2016-09-11	606.72	NA
2016-09-12	608.24	2159.040039
2016-09-13	609.24	2127.02002
2016-09-14	610.68	2125.77002
2016-09-15	607.16	2147.26001
2016-09-16	606.97	2139.159912
2016-09-17	605.98	NA
2016-09-18	609.87	NA
2016-09-19	609.23	2139.120117
2016-09-20	608.31	2139.76001
2016-09-21	597.15	2163.120117
2016-09-22	596.3	2177.179932
2016-09-23	602.84	2164.689941
2016-09-24	602.63	NA
2016-09-25	600.83	NA
2016-09-26	608.04	2146.100098
2016-09-27	606.17	2159.929932
2016-09-28	604.73	2171.370117
2016-09-29	605.69	2151.129883
2016-09-30	609.74	2168.27002
2016-10-01	613.98	NA
2016-10-02	610.89	NA
2016-10-03	612.13	2161.199951
2016-10-04	610.2	2150.48999
2016-10-05	612.51	2159.72998
2016-10-06	613.02	2160.77002
2016-10-07	617.12	2153.73999
2016-10-08	619.11	NA
2016-10-09	616.75	NA
2016-10-10	618.99	2163.659912
2016-10-11	641.07	2136.72998
2016-10-12	636.19	2139.179932
2016-10-13	636.79	2132.550049
2016-10-14	640.38	2132.97998
2016-10-15	638.65	NA
2016-10-16	641.63	NA
2016-10-17	639.19	2126.5
2016-10-18	637.96	2139.600098
2016-10-19	630.52	2144.290039
2016-10-20	630.86	2141.340088
2016-10-21	632.83	2141.159912
2016-10-22	657.29	NA
2016-10-23	657.07	NA
2016-10-24	653.76	2151.330078
2016-10-25	657.59	2143.159912
2016-10-26	678.3	2139.429932
2016-10-27	688.31	2133.040039
2016-10-28	689.65	2126.409912
2016-10-29	714.48	NA
2016-10-30	701.86	NA
2016-10-31	700.97	2126.149902
2016-11-01	729.79	2111.719971
2016-11-02	740.83	2097.939941
2016-11-03	688.7	2088.659912
2016-11-04	703.24	2085.179932
2016-11-05	703.42	NA
2016-11-06	711.52	NA
2016-11-07	703.13	2131.52002
2016-11-08	709.85	2139.560059
2016-11-09	723.27	2163.26001
2016-11-10	715.53	2167.47998
2016-11-11	716.41	2164.449951
2016-11-12	705.05	NA
2016-11-13	702.03	NA
2016-11-14	705.02	2164.199951
2016-11-15	711.62	2180.389893
2016-11-16	744.2	2176.939941
2016-11-17	740.98	2187.120117
2016-11-18	751.59	2181.899902
2016-11-19	751.62	NA
2016-11-20	731.03	NA
2016-11-21	739.25	2198.179932
2016-11-22	751.35	2202.939941
2016-11-23	744.59	2204.719971
2016-11-24	740.29	NA
2016-11-25	741.65	2213.350098
2016-11-26	735.38	NA
2016-11-27	732.04	NA
2016-11-28	735.81	2201.719971
2016-11-29	735.6	2204.659912
2016-11-30	745.69	2198.810059
2016-12-01	756.77	2191.080078
2016-12-02	777.94	2191.949951
2016-12-03	771.16	NA
2016-12-04	773.87	NA
2016-12-05	758.7	2204.709961
2016-12-06	764.22	2212.22998
2016-12-07	768.13	2241.350098
2016-12-08	770.81	2246.189941
2016-12-09	772.79	2259.530029
2016-12-10	774.65	NA
2016-12-11	769.73	NA
2016-12-12	780.09	2256.959961
2016-12-13	780.56	2271.719971
2016-12-14	781.48	2253.280029
2016-12-15	778.09	2262.030029
2016-12-16	784.91	2258.070068
2016-12-17	790.83	NA
2016-12-18	790.53	NA
2016-12-19	792.71	2262.530029
2016-12-20	800.88	2270.76001
2016-12-21	834.28	2265.179932
2016-12-22	864.54	2260.959961
2016-12-23	921.98	2263.790039
2016-12-24	898.82	NA
2016-12-25	896.18	NA
2016-12-26	907.61	NA
2016-12-27	933.2	2268.879883
2016-12-28	975.92	2249.919922
2016-12-29	973.5	2249.26001
2016-12-30	961.24	2238.830078
2016-12-31	963.74	NA
2017-01-01	998.33	NA
2017-01-02	1021.75	NA
2017-01-03	1043.84	2257.830078
2017-01-04	1154.73	2270.75
2017-01-05	1013.38	2269
2017-01-06	902.2	2276.97998
2017-01-07	908.59	NA
2017-01-08	911.2	NA
2017-01-09	902.83	2268.899902
2017-01-10	907.68	2268.899902
2017-01-11	777.76	2275.320068
2017-01-12	804.83	2270.439941
2017-01-13	823.98	2274.639893
2017-01-14	818.41	NA
2017-01-15	821.8	NA
2017-01-16	831.53	NA
2017-01-17	907.94	2267.889893
2017-01-18	886.62	2271.889893
2017-01-19	899.07	2263.689941
2017-01-20	895.03	2271.310059
2017-01-21	921.79	NA
2017-01-22	924.67	NA
2017-01-23	921.01	2265.199951
2017-01-24	892.69	2280.070068
2017-01-25	901.54	2298.370117
2017-01-26	917.59	2296.679932
2017-01-27	919.75	2294.689941
2017-01-28	921.59	NA
2017-01-29	919.5	NA
2017-01-30	920.38	2280.899902
2017-01-31	970.4	2278.870117
2017-02-01	989.02	2279.550049
2017-02-02	1011.8	2280.850098
2017-02-03	1029.91	2297.419922
2017-02-04	1042.9	NA
2017-02-05	1027.34	NA
2017-02-06	1038.15	2292.560059
2017-02-07	1061.35	2293.080078
2017-02-08	1063.07	2294.669922
2017-02-09	994.38	2307.870117
2017-02-10	988.67	2316.100098
2017-02-11	1004.45	NA
2017-02-12	999.18	NA
2017-02-13	990.64	2328.25
2017-02-14	1004.55	2337.580078
2017-02-15	1007.48	2349.25
2017-02-16	1027.44	2347.219971
2017-02-17	1046.21	2351.159912
2017-02-18	1054.42	NA
2017-02-19	1047.87	NA
2017-02-20	1079.98	NA
2017-02-21	1115.3	2365.379883
2017-02-22	1117.44	2362.820068
2017-02-23	1166.72	2363.810059
2017-02-24	1173.68	2367.340088
2017-02-25	1143.84	NA
2017-02-26	1165.2	NA
2017-02-27	1179.97	2369.75
2017-02-28	1179.97	2363.639893
2017-03-01	1222.5	2395.959961
2017-03-02	1251.01	2381.919922
2017-03-03	1274.99	2383.120117
2017-03-04	1255.15	NA
2017-03-05	1267.12	NA
2017-03-06	1272.83	2375.310059
2017-03-07	1223.54	2368.389893
2017-03-08	1150	2362.97998
2017-03-09	1188.49	2364.870117
2017-03-10	1116.72	2372.600098
2017-03-11	1175.83	NA
2017-03-12	1221.38	NA
2017-03-13	1231.92	2373.469971
2017-03-14	1240	2365.449951
2017-03-15	1249.61	2385.26001
2017-03-16	1187.81	2381.379883
2017-03-17	1100.23	2378.25
2017-03-18	973.82	NA
2017-03-19	1036.74	NA
2017-03-20	1054.23	2373.469971
2017-03-21	1120.54	2344.02002
2017-03-22	1049.14	2348.449951
2017-03-23	1038.59	2345.959961
2017-03-24	937.52	2343.97998
2017-03-25	972.78	NA
2017-03-26	966.73	NA
2017-03-27	1045.77	2341.590088
2017-03-28	1047.15	2358.570068
2017-03-29	1039.97	2361.129883
2017-03-30	1026.43	2368.060059
2017-03-31	1071.79	2362.719971
2017-04-01	1080.5	NA
2017-04-02	1102.17	NA
2017-04-03	1143.81	2358.840088
2017-04-04	1133.25	2360.159912
2017-04-05	1124.78	2352.949951
2017-04-06	1182.68	2357.48999
2017-04-07	1176.9	2355.540039
2017-04-08	1175.95	NA
2017-04-09	1187.87	NA
2017-04-10	1187.13	2357.159912
2017-04-11	1205.01	2353.780029
2017-04-12	1200.37	2344.929932
2017-04-13	1169.28	2328.949951
2017-04-14	1167.54	NA
2017-04-15	1172.52	NA
2017-04-16	1182.94	NA
2017-04-17	1193.91	2349.01001
2017-04-18	1211.67	2342.189941
2017-04-19	1210.29	2338.169922
2017-04-20	1229.08	2355.840088
2017-04-21	1222.05	2348.689941
2017-04-22	1231.71	NA
2017-04-23	1207.21	NA
2017-04-24	1250.15	2374.149902
2017-04-25	1265.49	2388.610107
2017-04-26	1281.08	2387.449951
2017-04-27	1317.73	2388.77002
2017-04-28	1316.48	2384.199951
2017-04-29	1321.79	NA
2017-04-30	1347.89	NA
2017-05-01	1421.6	2388.330078
2017-05-02	1452.82	2391.169922
2017-05-03	1490.09	2388.129883
2017-05-04	1537.67	2389.52002
2017-05-05	1555.45	2399.290039
2017-05-06	1578.8	NA
2017-05-07	1596.71	NA
2017-05-08	1723.35	2399.379883
2017-05-09	1755.36	2396.919922
2017-05-10	1787.13	2399.629883
2017-05-11	1848.57	2394.439941
2017-05-12	1724.24	2390.899902
2017-05-13	1804.91	NA
2017-05-14	1808.91	NA
2017-05-15	1738.43	2402.320068
2017-05-16	1734.45	2400.669922
2017-05-17	1839.09	2357.030029
2017-05-18	1888.65	2365.719971
2017-05-19	1987.71	2381.72998
2017-05-20	2084.73	NA
2017-05-21	2041.2	NA
2017-05-22	2173.4	2394.02002
2017-05-23	2320.42	2398.419922
2017-05-24	2443.64	2404.389893
2017-05-25	2304.98	2415.070068
2017-05-26	2202.42	2415.820068
2017-05-27	2038.87	NA
2017-05-28	2155.8	NA
2017-05-29	2255.61	NA
2017-05-30	2175.47	2412.909912
2017-05-31	2286.41	2411.800049
2017-06-01	2407.88	2430.060059
2017-06-02	2488.55	2439.070068
2017-06-03	2515.35	NA
2017-06-04	2511.81	NA
2017-06-05	2686.81	2436.100098
2017-06-06	2863.2	2429.330078
2017-06-07	2732.16	2433.139893
2017-06-08	2805.62	2433.790039
2017-06-09	2823.81	2431.77002
2017-06-10	2947.71	NA
2017-06-11	2958.11	NA
2017-06-12	2659.63	2429.389893
2017-06-13	2717.02	2440.350098
2017-06-14	2506.37	2437.919922
2017-06-15	2464.58	2432.459961
2017-06-16	2518.56	2433.149902
2017-06-17	2655.88	NA
2017-06-18	2548.29	NA
2017-06-19	2589.6	2453.459961
2017-06-20	2721.79	2437.030029
2017-06-21	2689.1	2435.610107
2017-06-22	2705.41	2434.5
2017-06-23	2744.91	2438.300049
2017-06-24	2608.72	NA
2017-06-25	2589.41	NA
2017-06-26	2478.45	2439.070068
2017-06-27	2552.45	2419.379883
2017-06-28	2574.79	2440.689941
2017-06-29	2539.32	2419.699951
2017-06-30	2480.84	2423.409912
2017-07-01	2434.55	NA
2017-07-02	2506.47	NA
2017-07-03	2564.06	2429.01001
2017-07-04	2601.64	NA
2017-07-05	2601.99	2432.540039
2017-07-06	2608.56	2409.75
2017-07-07	2518.66	2425.179932
2017-07-08	2571.34	NA
2017-07-09	2518.44	NA
2017-07-10	2372.56	2427.429932
2017-07-11	2337.79	2425.530029
2017-07-12	2398.84	2443.25
2017-07-13	2357.9	2447.830078
2017-07-14	2233.34	2459.27002
2017-07-15	1998.86	NA
2017-07-16	1929.82	NA
2017-07-17	2228.41	2459.139893
2017-07-18	2318.88	2460.610107
2017-07-19	2273.43	2473.830078
2017-07-20	2817.6	2473.449951
2017-07-21	2667.76	2472.540039
2017-07-22	2810.12	NA
2017-07-23	2730.4	NA
2017-07-24	2754.86	2469.909912
2017-07-25	2576.48	2477.129883
2017-07-26	2529.45	2477.830078
2017-07-27	2671.78	2475.419922
2017-07-28	2809.01	2472.100098
2017-07-29	2726.45	NA
2017-07-30	2757.18	NA
2017-07-31	2875.34	2470.300049
2017-08-01	2718.26	2476.350098
2017-08-02	2710.67	2477.570068
2017-08-03	2804.73	2472.159912
2017-08-04	2895.89	2476.830078
2017-08-05	3252.91	NA
2017-08-06	3213.94	NA
2017-08-07	3378.94	2480.909912
2017-08-08	3419.94	2474.919922
